paper_id,title,pages_checked,tables_found,rendered_pages,extraction_errors,status
3b8954612817,Proxy-UAV: Bridging the Missing Drone View for Cross-View Geo-Localization,1; 2,0,2,,visual_review_required
5f3026c15e82,R2PLoc A Region-to-Point UAV Visual Geo-Localization Framework Leveraging Hierarchical Semantic Representation,4; 12; 14,0,3,,visual_review_required
9a41c34577e0,Rethinking Cross-view Object Geo-Localization Towards Many-to-Many Real-world Localization,4; 5,4,2,,tables_extracted
daf790654cfb,Rethinking Pooling for Multi-Granularity Features in Aerial-View Geo-Localization,3; 4,0,2,,visual_review_required
3ed9b45869b5,Satellite-Free Training for Drone-View Geo-Localization,5; 6; 7,0,3,,visual_review_required
ccd22757308c,SAVL Scene-Adaptive UAV Visual Localization Using Sparse Feature Extraction and Incremental Descriptor Mapping,1; 5; 8; 13; 14; 17; 18; 20,1,8,,tables_extracted
d677dd26cb3e,SCOF Supervised Contrastive Orthogonal Fusion for Robust Cross-View Geolocalization,8; 9; 10; 12,0,4,,visual_review_required
ed7cb3a291e1,SeGCN: A Semantic-Aware Graph Convolutional Network for UAV Geo-Localization,6; 7,0,2,,visual_review_required
82dbe06751f7,Self-Supervised Cross-View Graph Search Framework for Ground-to-Satellite Geo-Localization,8; 9,0,2,,visual_review_required
d5de60b2f94e,SemGeoFrame: A Visual Matching Framework for Aircraft Based on Surface Semantic Information,10; 12,0,2,,visual_review_required
2aea7cfc1827,SHAA: Spatial Hybrid Attention Network With Adaptive Cross-Entropy Loss Function for UAV-View Geo-Localization,10; 11; 12,0,3,,visual_review_required
2f34c094b799,SkyLink: A Large Vision-Language Model Driven Re-ranking Framework for Cross-View UAV geolocalization,5; 6; 7; 10,4,4,,tables_extracted
cdfcc0ec1b73,SliceMatch Geometry-Guided Aggregation for Cross-View Pose Estimation,7; 8,11,2,,tables_extracted
c58d8d343927,SMDT Cross-View Geo-Localization with Image Alignment and Transformer,5; 6,0,2,,visual_review_required
54ed1af6a9b3,ST-D3QN Advancing UAV Path Planning With an Enhanced Deep Reinforcement Learning Framework in Ultra-Low Altitudes,1; 10; 11,0,3,,visual_review_required
b5caac31809c,STHN Deep Homography Estimation for UAV Thermal Geo-localization with Satellite Imagery,2; 4; 7,0,3,,visual_review_required
83972fc6c838,SUES-200 A Multi-height Multi-scene Cross-view Image Benchmark Across Drone and Satellite,9; 10; 12,2,3,,tables_extracted
168d02a9b466,SURFNet: A Surface-Aware UAV–Satellite Geolocation Framework via Feature Aggregation and Dual Positional Encoding,7; 9; 10; 11,1,4,,tables_extracted
d13004a0f023,Tightly Coupled GNSS-Visual-Inertial Smoothly Consistent State Estimation System,1; 3; 16,0,3,,visual_review_required
f6975dbe0dea,Toward Integrating Semantic-aware Path Planning and Reliable Localization for UAV Operations,2; 4,0,2,,visual_review_required
950172f7f8c8,UASTHN Uncertainty-Aware Deep Homography Estimation for UAV Satellite-Thermal Geo-Localization,1; 4,8,2,,tables_extracted
b5ab5786cd9c,UAV Cross-View Geo-Localization Based on Multi-Scale Partitioning and Attention-Enhanced Transformer,3; 4,3,2,,tables_extracted
f492b9c680a8,UAV Geo-Localization Dataset and Method Based on Cross-View Matching,3; 14,0,2,,visual_review_required
63d35fe5fe2d,UAV Positioning Method Based on Heterogeneous Image Matching Under GPS Denial,,0,0,,no_candidate_pages
835f3f1ac3bf,UAV Visual Localization System Empowered by Zero-Shot Deep Feature Matching,1; 3; 5,0,3,,visual_review_required
c3321ed351c8,UAV Visual Localization via Multimodal Fusion and Multi-Scale Attention Enhancement,16,0,1,,visual_review_required
189d681f636e,UAV-GeoLoc A Large-Vocabulary Dataset and Geometry-Transformed Method for UAV Geo-Localization,3; 6,0,2,,visual_review_required
b508c0afaa2f,UltraVPR: Unsupervised Lightweight Rotation- Invariant Aerial Visual Place Recognition,5; 6; 7,0,3,,visual_review_required
841f72f1d3b0,UniABG: Unified Adversarial View Bridging and Graph Correspondence for Unsupervised Cross-View Geo-Localization,6; 7,4,2,,tables_extracted
ab9dab27b058,Unsupervised Multi-view UAV Image Geo-localization via Iterative Rendering,7,2,1,,tables_extracted
f265bcce8a8b,View Consistent Purification for Accurate Cross-View Localization,2; 3; 6; 8,6,4,,tables_extracted
6cf6dbcaed80,Visible-to-Infrared Image Translation for Matching Tasks,9,0,1,,visual_review_required
d2714d8c0bdf,Vision-Based UAV Localization by Aerial and Satellite Image Matching,9,0,1,,visual_review_required
e8b9b13f251d,Visual Localization system for GPS-Blind Environments in Unmanned Aerial Vehicles,5,1,1,,tables_extracted
ce14891059e1,Visual Localization with Google Earth Images for Robust Global Pose Estimation of UAVs,4; 5; 6,3,3,,tables_extracted
ab2b9558e629,Visual place recognition for aerial imagery: A survey,3; 4; 6; 7; 8; 9; 11,4,7,,tables_extracted
b8bbbd941cc5,Visual Self-Positioning of Low-Altitude Urban UAV Based on Improved Transformer Architecture,9; 12,0,2,,visual_review_required
a7fcf3489f1b,VLF-SPS: a visual localization framework based on salient position selection and cross-source image matching,15,0,1,,visual_review_required
e93df3813f7c,VLGeo: Bridging Viewpoints in UAV-View Geo-Localization Using a Large Vision–Language Model,7; 8; 9,0,3,,visual_review_required
