paper_id,title,cache_category,full_text_status,benchmark_disposition,datasets_keyword_scan,result_pages,comparison_pages,result_summary,leaderboard_action,pdf_file
5f4142a58af4; 6a3fbed60c1e,APA-BI Adaptive Partition Aggregation and Bidirectional Integration for UAV-View Geo-Localization,readable,complete,added_to_canonical_leaderboards,University-1652; SUES-200; UAV-GeoLoc,1; 4; 5; 6,4; 5; 6,APA-BI: visually verified canonical results on University-1652; SUES-200.,added 10 verified protocol rows,5f4142a58af4_ieee_alt.pdf; 6a3fbed60c1e.pdf
82930fdbcd52,Attention-Driven Object Encoding and Multiscale Contextual Perception for Improved Cross-View Object Geo-Localization,readable,complete,readable_but_not_canonical_addition,University-1652,4,,"Cross-view object bounding-box localization uses acc@IoU, not place-retrieval metrics.",kept in audit only,82930fdbcd52.pdf
9ba16a43537d,Beyond Matching to Tiles Bridging Unaligned Aerial and Satellite Views for Vision-Only UAV Navigation,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; DenseUAV; GTA-UAV; VIGOR; CVUSA; CVACT,3; 5; 6; 7; 8; 11; 12; 17,8; 17,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,9ba16a43537d_arxiv.pdf
b51dab3341da,BGG: Bridging the Geometric Gap between Cross-View images by Vision Foundation Model Adaptation for Geo-Localization,readable,complete,already_represented,University-1652; SUES-200; GTA-UAV; VIGOR; CVUSA; CVACT,7; 8; 9; 10; 11,7; 8; 9; 10; 11,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (10 exact-title rows),b51dab3341da_BGG_Bridging_the_Geometric_Gap_between_Cross-View_arxiv.pdf
44ce5ac96986,Bridging the appearance gap Multi-experience localization for long-term visual teach and repeat,readable,complete,readable_but_not_canonical_addition,,7; 8,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,44ce5ac96986_ieee_alt.pdf
ca16920bb2da,CFIRE: Cross-View Feature Interaction for Fine-Grained Regression-Based UAV Localization,readable,complete,readable_but_not_canonical_addition,AerialVL; VIGOR,1; 2; 3,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,ca16920bb2da_ieee_alt.pdf
aa95c2daa1b2,CGSI: Context-Guided and UAV’s Status Informed Multimodal Framework for Generalizable Cross-View Geo-Localization,readable,complete,already_represented,University-1652; SUES-200; CVUSA; CVACT,8; 9; 10; 11,8; 9; 10; 11,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (13 exact-title rows),aa95c2daa1b2.pdf
774e09788340,City-level aerial geo-localization based on map matching network,readable,complete,readable_but_not_canonical_addition,University-1652; DenseUAV; World-UAV,2; 7; 8; 9; 10; 11; 12; 13,7; 10,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,774e09788340.pdf
d490bde886ee,Comparative Studies of Descriptor-Based Image Matching Techniques for AAV Applications (1),readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; DenseUAV; UAV-VisLoc,1; 8; 11,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,d490bde886ee_ieee_access.pdf
b38399c5c0d2,Comparison of Visual Place Recognition Methods for UAV Imagery,readable,complete,readable_but_not_canonical_addition,,3; 4,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,b38399c5c0d2_ieee_alt.pdf
f21c9cfe29c0,Cross-Attention Between Satellite and Ground Views for Enhanced Fine-Grained Robot,readable,complete,readable_but_not_canonical_addition,VIGOR; CVUSA; CVACT,1; 3; 5; 6; 7,6; 7,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,f21c9cfe29c0_ieee_alt.pdf
8c7585ccb202,Cross-View Image Geo-Localization with Panorama-BEV Co-retrieval Network,readable,complete,already_represented,University-1652; VIGOR; CVUSA; CVACT,4; 6; 7; 11; 12; 13; 14,6; 11; 12; 13; 14,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (20 exact-title rows),8c7585ccb202_arxiv.pdf
468b748ff556,Cross-View Object Geo-Localization in a Local Region With Satellite Imagery,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; VIGOR; CVUSA; CVACT,12,,"Local-region object geo-localization uses acc@0.25/0.5, not University-1652 retrieval.",kept in audit only,468b748ff556_ieee_alt.pdf
bd375063449b,Cross-view UAV Geo-localization via Wavelet-based Local Feature Enhancement,readable,complete,added_to_canonical_leaderboards,University-1652,1; 4; 5,4; 5,Wavelet Local Feature Enhancement: visually verified canonical results on University-1652.,added 2 verified protocol rows,bd375063449b_ieee_alt.pdf
933a07cca9fd,Cross-View UAV Geo-Localization with Precision-Focused Efficient Design A Hierarchical Distillation Approach with Multi-view Refinement,readable,complete,already_represented_under_alias_or_manual_page,University-1652; SUES-200,1; 7; 8; 9,7,MobileGeo core rows already exist under the shorter MobileGeo paper title; multi-view refinement is noncanonical.,no duplicate row added,933a07cca9fd_arxiv.pdf
1c2fac0f661d,CVD-SfM: A Cross-View Deep Front-end Structure-from-Motion System for Sparse Localization in Multi-Altitude Scenes,readable,complete,readable_but_not_canonical_addition,University-1652; VIGOR; CVUSA; CVACT,1; 6; 7,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,1c2fac0f661d.pdf
88b1c713820a,DiffusionUavLoc: Visually Prompted Diffusion for Cross-View UAV Localization,readable,complete,already_represented,University-1652; SUES-200; UAV-GeoLoc,6; 7,6,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (2 exact-title rows),88b1c713820a_DiffusionUavLoc_Visually_Prompted_Diffusion_for_C_arxiv.pdf
d04c0e428697,DINOv2-Based UAV Visual Self-Localization in Low-Altitude Urban Environments,readable,complete,already_represented,University-1652; SUES-200; DenseUAV; AerialVL; CVUSA,1; 5; 6; 7,5; 6,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (1 exact-title rows),d04c0e428697_ieee_alt.pdf
a49bd8bbea92,Do Keypoints Contain Crucial Information Mining Keypoint Information to Enhance Cross-View Geo-Localization,readable,complete,added_to_canonical_leaderboards,University-1652; CVUSA,4; 5,4; 5,UDPA-Net: visually verified canonical results on University-1652.,added 2 verified protocol rows,a49bd8bbea92_ieee_alt.pdf
41f846965028,DOA: Advancing Cross-View Geo-Localization via Domain and Objective Alignment,readable,complete,added_to_canonical_leaderboards,University-1652; SUES-200; CVUSA; CVACT,1; 6; 7; 8,6; 8,DOA: visually verified canonical results on University-1652; SUES-200.,added 10 verified protocol rows,41f846965028.pdf
cba3f199a0d3,DOCB: A Dynamic Online Cross-Batch Hard Exemplar Recall for Cross-View Geo-Localization,readable,complete,already_represented,University-1652; VIGOR; CVUSA; CVACT,3; 9; 10; 11; 12; 13; 14; 15,9; 10; 11; 12; 13; 14; 15,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (2 exact-title rows),cba3f199a0d3_ijgi-14-00418.pdf
3d8550f1d24c,Enhancing cross view geo localization through global local quadrant interaction network,readable,complete,already_represented,University-1652; SUES-200; UAV-GeoLoc; VIGOR; CVACT,7; 8; 9; 10; 11; 12,8; 9; 11,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (2 exact-title rows),3d8550f1d24c_Enhancing_cross_view_geo_localization_through_glob_unpaywall.pdf
a04107479203,Exploring Deep Learning-Based Visual Localization Techniques for UAVs in GPS-Denied Environments,readable,complete,readable_but_not_canonical_addition,University-1652; World-UAV; UAV-GeoLoc,6; 8; 10; 13,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,a04107479203_ieee_access.pdf
27b14397c21c,Exploring the best way for UAV visual localization under Low-altitude Multi-view Observation Condition: a Benchmark,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; DenseUAV; GTA-UAV; UAV-VisLoc,3; 4; 5; 6; 7; 8,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,27b14397c21c_Exploring_the_best_way_for_UAV_visual_localization_arxiv-direct.pdf
cd047607b9a7,Exploring the Image Registration Method for UAV Visual Localization,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; UAV-VisLoc,1; 3,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,cd047607b9a7_ieee_alt.pdf
ddca752302da,GeoFormer: Boosting Object Distinguishing and Prompt Understanding for Cross-View Object Geo-Localization,readable,complete,readable_but_not_canonical_addition,University-1652,,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,ddca752302da_ieee_alt.pdf
a5449d507d08,GNSS-denied geolocalization of UAVs by visual matching of onboard camera images with orthophotos,readable,complete,readable_but_not_canonical_addition,UAV-GeoLoc,2; 5; 6; 7,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,a5449d507d08_GNSS-denied_geolocalization_of_UAVs_by_visual_matc_arxiv.pdf
3e61d038d390,GRiM-Net: A Two-Stage Cross-View Visual Localization Framework for UAVs,readable,complete,already_represented,World-UAV; UAV-GeoLoc,14; 18; 21; 23; 25,,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (1 exact-title rows),3e61d038d390_remotesensing-18-01477-v2.pdf
2ad1078935a8,HCCM: Hierarchical Cross-Granularity Contrastive and Matching Learning for Natural Language-Guided Drones,readable,complete,readable_but_not_canonical_addition,University-1652,1; 6; 7,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,2ad1078935a8.pdf
ea96da563d00,HMCF-Net: Hierarchical Multi-scale Fusion for UAV-Satellite Cross-view Geo-localization,readable,complete,already_represented,University-1652; UAV-GeoLoc,1; 4; 5,5,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (2 exact-title rows),ea96da563d00.pdf
e30ee7b6b636,Improving the Localization Accuracy in Internet of Drones Networks,readable,complete,already_represented,University-1652; DenseUAV,1; 4; 5; 6,5; 6,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (1 exact-title rows),e30ee7b6b636_ieee_alt.pdf
f4ed1572461e,Joint Representation Learning Based on Feature Center Region Diffusion and Edge Radiation for Cross-View Geo-Localization,readable,complete,already_represented,University-1652; SUES-200; VIGOR; CVUSA; CVACT,7; 8,7,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (6 exact-title rows),f4ed1572461e_ieee_alt.pdf
ca78db4b5731,JRN-Geo: A Joint Perception Network based on RGB and Normal images for Cross-view Geo-localization,readable,complete,already_represented,University-1652; SUES-200,5; 6,5; 6,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (2 exact-title rows),ca78db4b5731_JRN-Geo_A_Joint_Perception_Network_based_on_RGB_a_arxiv.pdf
f11512cc1a97,Learnable Query Aggregation with KV Routing for Cross-view Geo-localisation,readable,complete,added_to_canonical_leaderboards,University-1652; SUES-200,4; 5,4; 5,LQ-KV: visually verified canonical results on University-1652; SUES-200.,added 10 verified protocol rows,f11512cc1a97_Learnable_Query_Aggregation_with_KV_Routing_for_Cr_arxiv.pdf
cd3dc92a8286,Leveraging Map Retrieval and Alignment for Robust UAV Visual Geo-Localization,readable,complete,readable_but_not_canonical_addition,UAV-GeoLoc,8; 9; 10,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,cd3dc92a8286_ieee_alt.pdf
39ff99cf43f4,Lightweight Cross-View Localization via Quantized Knowledge Distillation and Adaptive Local Feature Matching,readable,complete,already_represented,UAV-VisLoc; AerialVL,3; 4,3; 4,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (8 exact-title rows),39ff99cf43f4_ieee_alt.pdf
c84291931b02,Long-range UAV Thermal Geo-localization with Satellite Imagery,readable,complete,readable_but_not_canonical_addition,,5; 6,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,c84291931b02_Long-range_UAV_Thermal_Geo-localization_with_Satel_arxiv.pdf
e72f3ee1cd16,MADA-SSA: Multi-Axis Directional Attention and Spatial-Semantic Aggregation for Robust Drone-to-Satellite Geo-Localization,readable,complete,already_represented,University-1652; SUES-200,2; 13; 14; 15; 18; 19; 22,14,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (10 exact-title rows),e72f3ee1cd16_MADA-SSA_Multi-Axis_Directional_Attention_and_Spa_unpaywall.pdf
c5cb9de649a1,Matching 2D Images in 3D Metric Relative Pose from Metric,readable,complete,readable_but_not_canonical_addition,,5; 6; 7; 8; 9; 10; 12; 13,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,c5cb9de649a1_arxiv.pdf
3b653d54791c,MCL-Geo: Multi-branch Contrastive Learning for Cross-view Geo-localizationA multi-branch contrastive learning framework plus uniform cross-view contrastive loss for cross-view geo-localization targets.,readable,complete,added_to_canonical_leaderboards,University-1652; SUES-200,5; 6; 7,5,MCL-Geo: visually verified canonical results on University-1652; SUES-200.,added 10 verified protocol rows,3b653d54791c_acm.pdf
fc7381acc7dd,MFAF: An EVA02-Based Multi-scale Frequency Attention Fusion Method for Cross-View Geo-Localization,readable,complete,added_to_canonical_leaderboards,University-1652; SUES-200; DenseUAV; CVUSA,8; 10; 11; 12; 19; 20,8; 10; 11; 12,MFAF: visually verified canonical results on University-1652; SUES-200; DenseUAV.,added 11 verified protocol rows,fc7381acc7dd_MFAF_An_EVA02-Based_Multi-scale_Frequency_Attenti_arxiv-direct.pdf
2040e36dc653; f688dd8cddb0,MMGeo: Multimodal Compositional Geo-Localization for UAVs,readable,complete,readable_but_not_canonical_addition,DenseUAV; GTA-UAV; UAV-VisLoc; AerialVL,1; 2; 3; 4; 5; 6; 7; 8,3; 6; 7; 8,"Tables use constructed GTA-UAV-MM and UAV-VisLoc-MM multimodal variants, not the canonical datasets.",kept in audit only,2040e36dc653.pdf; f688dd8cddb0_ieee_alt.pdf
cd3a222e27f8,MobileGeo Exploring Hierarchical Knowledge Distillation for Resource-Efficient Cross-view Drone Geo-Localization,readable,complete,already_represented,University-1652; SUES-200,1; 7; 8; 9,7,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (8 exact-title rows),cd3a222e27f8_arxiv.pdf
573972da87de,Modern Backbone for Efficient Geo-localization,readable,complete,added_to_canonical_leaderboards,University-1652; SUES-200,1; 2; 3; 5,5,MBEG-L1: visually verified canonical results on University-1652.,added 2 verified protocol rows,573972da87de.pdf
c7e57d895be7,"MORE'25 Multimedia Object Re-ID: Advancements, Challenges, and Opportunities",readable,complete,readable_but_not_canonical_addition,University-1652,,,Survey/challenge overview; no new primary benchmark result.,kept in audit only,c7e57d895be7_acm.pdf
50abb7ac99ee,MTA-Dataset: Multiple-Tilt-Angle Dataset for UAV–Satellite Image Matching,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; DenseUAV; GTA-UAV; UAV-VisLoc,2; 3; 5; 13,5,Introduces the separate MTA tilt-angle dataset.,kept in audit only,50abb7ac99ee_applsci-16-02488-v2.pdf
f5df981b2073,Multi-Level Embedding and Alignment Network with Consistency and Invariance Learning for Cross-View Geo-Localization,readable,complete,already_represented,University-1652; SUES-200; CVUSA; CVACT,1; 6; 12; 13; 14; 15; 16,12; 13; 14; 15; 16,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (10 exact-title rows),f5df981b2073_Multi-Level_Embedding_and_Alignment_Network_with_C_arxiv-direct.pdf
6f916702b8e5,Multi-level representation learning via ConvNeXt-based network for unaligned cross-view matching,readable,complete,already_represented,University-1652; SUES-200; UAV-GeoLoc; VIGOR; CVUSA; CVACT,2; 3; 4; 6; 8; 9; 10; 11,8; 9,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (10 exact-title rows),6f916702b8e5_v6.pdf
d92f0e26bb84,Multi-weather Cross-view Geo-localization Using Denoising Diffusion Models,readable,complete,already_represented_under_alias_or_manual_page,University-1652,3; 4,,University160k-WX result is already represented on its separate protocol page.,no duplicate row added,d92f0e26bb84_Multi-weather_Cross-view_Geo-localization_Using_De_arxiv.pdf
d7e7b56c7172,Multibranch Joint Representation Learning Based on Information Fusion Strategy for Cross-View Geo-Localization,readable,complete,already_represented,University-1652; SUES-200; CVUSA; CVACT,1; 8; 9; 10; 12,8; 9; 10; 12,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (12 exact-title rows),d7e7b56c7172_ieee_alt.pdf
42bbd39ca43d,MuRDE-FPN: Precise UAV Localization Using Enhanced Feature Pyramid Network,readable,complete,readable_but_not_canonical_addition,World-UAV; UAV-VisLoc; UAV-GeoLoc,7; 16; 17; 18; 19; 21,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,42bbd39ca43d_drones-10-00162.pdf
d3cdc2d6ff0a,Navigating the Metaverse: UAV-Based Cross-View Geo-Localization in Virtual Worlds,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; VIGOR; CVUSA; CVACT,4,,Uses virtual-world day/rain/evening/night datasets rather than canonical UAV retrieval splits.,kept in audit only,d3cdc2d6ff0a.pdf
e762d8c49f13,Notes on Kalman Filter,readable,complete,readable_but_not_canonical_addition,,,,Kalman-filter notes; no UAV-CVGL benchmark experiment.,kept in audit only,e762d8c49f13_arxiv.pdf
e3ae8d127381,OriLoc: Unlimited-FoV and Orientation-Free Cross-View Geolocalization,readable,complete,already_represented,University-1652; VIGOR; CVUSA; CVACT,1; 9; 11; 12; 13,9; 12,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (3 exact-title rows),e3ae8d127381_ieee_alt.pdf
8c187c7f35f0,P2FCN: Environment-Independent UAV-View Geo-Localization via Pixel-to-Feature Co-Enhancement,readable,complete,already_represented,University-1652; SUES-200; GTA-UAV; VIGOR; CVUSA; CVACT,7; 8; 9; 10,7; 8,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (4 exact-title rows),8c187c7f35f0.pdf
9c8f4e023278,Particle Filter-Based Localization Using Visual Feature Synchronization in GNSS-Denied Navigation,readable,complete,readable_but_not_canonical_addition,,7,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,9c8f4e023278_ieee_alt.pdf
ca98b2efc271,PnP-UGCSuperGlue: deep learning drone image matching algorithm for visual localization,readable,complete,readable_but_not_canonical_addition,University-1652; DenseUAV; World-UAV,1; 8,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,ca98b2efc271_v6.pdf
c4c5ea82da24,Precise GPS-Denied UAV Self-positioning via Context-Enhanced Cross-View Geo-Localization,readable,complete,already_represented,University-1652; SUES-200; DenseUAV; UAV-GeoLoc,4; 6; 7; 8; 9,6; 8,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (0 exact-title rows),c4c5ea82da24_Precise_GPS-Denied_UAV_Self-positioning_via_Contex_arxiv.pdf
3b8954612817,Proxy-UAV: Bridging the Missing Drone View for Cross-View Geo-Localization,readable,complete,already_represented,University-1652; VIGOR,1; 2; 3; 4,1; 2,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (1 exact-title rows),3b8954612817.pdf
5f3026c15e82,R2PLoc A Region-to-Point UAV Visual Geo-Localization Framework Leveraging Hierarchical Semantic Representation,readable,complete,already_represented,University-1652; SUES-200; DenseUAV; UAV-VisLoc; UAV-GeoLoc,4; 5; 12; 13; 14; 15,4; 12; 14,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (1 exact-title rows),5f3026c15e82_ieee_alt.pdf
9a41c34577e0,Rethinking Cross-view Object Geo-Localization Towards Many-to-Many Real-world Localization,readable,complete,readable_but_not_canonical_addition,VIGOR,4; 5,4; 5,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,9a41c34577e0_ieee_alt.pdf
daf790654cfb,Rethinking Pooling for Multi-Granularity Features in Aerial-View Geo-Localization,readable,complete,added_to_canonical_leaderboards,University-1652; SUES-200,2; 3; 4,3; 4,D²-GeM: visually verified canonical results on University-1652.,added 2 verified protocol rows,daf790654cfb.pdf
3ed9b45869b5,Satellite-Free Training for Drone-View Geo-Localization,readable,complete,already_represented,University-1652; SUES-200; DenseUAV,3; 5; 6; 7; 8; 10; 11; 14,5; 6; 7,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (2 exact-title rows),3ed9b45869b5_Satellite-Free_Training_for_Drone-View_Geo-Localiz_arxiv.pdf
ccd22757308c,SAVL Scene-Adaptive UAV Visual Localization Using Sparse Feature Extraction and Incremental Descriptor Mapping,readable,complete,readable_but_not_canonical_addition,University-1652; SUES-200; DenseUAV; UAV-VisLoc; UAV-GeoLoc; CVUSA,1; 5; 8; 13; 14; 17; 18; 20,,"Full text and candidate result pages were read, but the reported experiment is a different dataset, task, metric, transfer setting, survey, or navigation/local-matching protocol.",kept in audit only,ccd22757308c_remotesensing-17-02408.pdf
d677dd26cb3e,SCOF Supervised Contrastive Orthogonal Fusion for Robust Cross-View Geolocalization,readable,complete,already_represented,University-1652; SUES-200; DenseUAV; UAV-GeoLoc; VIGOR; CVUSA; CVACT,8; 9; 10; 12; 13,8; 9; 10; 12,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (11 exact-title rows),d677dd26cb3e.pdf
ed7cb3a291e1,SeGCN: A Semantic-Aware Graph Convolutional Network for UAV Geo-Localization,readable,complete,already_represented,University-1652; SUES-200; World-UAV; CVUSA; CVACT,1; 6; 7,6; 7,Full text extracted; result/comparison pages indexed; existing leaderboard representation retained.,kept existing rows (2 exact-title rows),ed7cb3a291e1_ieee_alt.pdf
